   tot%      tot#     self%     self#  function
0.00002         1   0.00002         1  toplevel
0.99998     42021   0.00007         3  | "doRun"
0.96778     40668   0.00000         0  | | "setDistance"
0.96778     40668   0.00000         0  | | | "standardGeneric"
0.96778     40668   0.00000         0  | | | | "setDistance"
0.96775     40667   0.00000         0  | | | | | "dist"
0.96775     40667   0.00000         0  | | | | | | "nrow"
0.96775     40667   0.00000         0  | | | | | | | "as.matrix"
0.96775     40667   0.00000         0  | | | | | | | | "matrix"
0.96775     40667   0.00000         0  | | | | | | | | | "as.vector"
0.96775     40667   0.00000         0  | | | | | | | | | | "boxcoxplsSummary"
0.96764     40662   0.00000         0  | | | | | | | | | | | "summaryStatsLong"
0.96754     40658   0.00005         2  | | | | | | | | | | | | "fitContinuous.hacked"
0.75032     31530   0.00000         0  | | | | | | | | | | | | | "treedata"
0.75025     31527   0.00000         0  | | | | | | | | | | | | | | "is.vector"
0.75025     31527   0.00864       363  | | | | | | | | | | | | | | | "convertTaxonFrameToGeigerData"
0.75023     31526   0.25810     10846  | | | | | | | | | | | | | | | | "doSimulation"
0.22926      9634   0.00416       175  | | | | | | | | | | | | | | | | | "intrinsicFn"
0.01340       563   0.00024        10  | | | | | | | | | | | | | | | | | | "rnorm"
0.00921       387   0.00259       109  | | | | | | | | | | | | | | | | | | | "states"
0.00900       378   0.00055        23  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00604       254   0.00319       134  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00585       246   0.00062        26  | | | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00267       112   0.00205        86  | | | | | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00205        86   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "assign"
0.00036        15   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "states"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | "length"
0.12896      5419   0.00105        44  | | | | | | | | | | | | | | | | | "timeSinceSpeciation<-"
0.12888      5416   0.00105        44  | | | | | | | | | | | | | | | | | | "standardGeneric"
0.12451      5232   0.00069        29  | | | | | | | | | | | | | | | | | | | "timeSinceSpeciation<-"
0.12360      5194   0.00048        20  | | | | | | | | | | | | | | | | | | | | "@<-"
0.12284      5162   0.11732      4930  | | | | | | | | | | | | | | | | | | | | | "slot<-"
0.12236      5142   0.00167        70  | | | | | | | | | | | | | | | | | | | | | | "checkSlotAssignment"
0.00293       123   0.00231        97  | | | | | | | | | | | | | | | | | | | | | | | "elNamed"
0.00126        53   0.00005         2  | | | | | | | | | | | | | | | | | | | | | | | | "match"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | "names"
0.00109        46   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "el"
0.00131        55   0.00059        25  | | | | | | | | | | | | | | | | | | | | | | | "getClass"
0.00088        37   0.00029        12  | | | | | | | | | | | | | | | | | | | | | | | | ".getClassFromCache"
0.00029        12   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00071        30   0.00021         9  | | | | | | | | | | | | | | | | | | | | | | | ".identC"
0.00021         9   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00014         6   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "class"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "is.null"
0.00007         3   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | ".Call"
0.00005         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "is.name"
0.00002         1   0.00000         0  | | | | | | | | | | | | | | | | | | | | | "as.character"
0.00333       140   0.00155        65  | | | | | | | | | | | | | | | | | | | "loadMethod"
0.00319       134   0.00045        19  | | | | | | | | | | | | | | | | | | | | "standardGeneric"
0.00164        69   0.00119        50  | | | | | | | | | | | | | | | | | | | | | "loadMethod"
