   tot%      tot#     self%     self#  function
0.00038         1   0.00000         0  toplevel
0.99962      2603   0.00000         0  | "doRun"
0.71429      1860   0.00000         0  | | "setDistance"
0.71429      1860   0.00000         0  | | | "standardGeneric"
0.71429      1860   0.00000         0  | | | | "setDistance"
0.71429      1860   0.00000         0  | | | | | "dist"
0.71429      1860   0.00000         0  | | | | | | "nrow"
0.71429      1860   0.00000         0  | | | | | | | "as.matrix"
0.71429      1860   0.00000         0  | | | | | | | | "matrix"
0.71429      1860   0.00000         0  | | | | | | | | | "boxcoxplsSummary"
0.71429      1860   0.00000         0  | | | | | | | | | | "summaryStatsLong"
0.71237      1855   0.00000         0  | | | | | | | | | | | "fitContinuous.hacked"
0.33410       870   0.00000         0  | | | | | | | | | | | | "fitContinuousModel"
0.19662       512   0.00000         0  | | | | | | | | | | | | | "try"
0.19662       512   0.00000         0  | | | | | | | | | | | | | | "tryCatch"
0.19662       512   0.00000         0  | | | | | | | | | | | | | | | "tryCatchList"
0.19662       512   0.00000         0  | | | | | | | | | | | | | | | | "tryCatchOne"
0.19508       508   0.00000         0  | | | | | | | | | | | | | | | | | "doTryCatch"
0.19508       508   0.00038         1  | | | | | | | | | | | | | | | | | | "optim"
0.19470       507   0.00000         0  | | | | | | | | | | | | | | | | | | | "<Anonymous>"
0.19470       507   0.00499        13  | | | | | | | | | | | | | | | | | | | | "fn"
0.09217       240   0.00038         1  | | | | | | | | | | | | | | | | | | | | | "dmvnormPseudoinverse"
0.06260       163   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "mahalanobis"
0.06183       161   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "rowSums"
0.06183       161   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "is.data.frame"
0.06183       161   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | "pseudoinverse"
0.05338       139   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | "fast.svd"
0.05338       139   0.00883        23  | | | | | | | | | | | | | | | | | | | | | | | | | | | "positive.svd"
0.04455       116   0.00922        24  | | | | | | | | | | | | | | | | | | | | | | | | | | | | "svd"
0.03226        84   0.02803        73  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "La.svd"
0.00422        11   0.00422        11  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "matrix"
0.00307         8   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "t"
0.00307         8   0.00307         8  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "t.default"
0.00422        11   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | "t"
0.00422        11   0.00422        11  | | | | | | | | | | | | | | | | | | | | | | | | | | | "t.default"
0.00269         7   0.00269         7  | | | | | | | | | | | | | | | | | | | | | | | | | | "%*%"
0.00115         3   0.00115         3  | | | | | | | | | | | | | | | | | | | | | | | | | | "*"
0.00038         1   0.00038         1  | | | | | | | | | | | | | | | | | | | | | | | | | | "/"
0.00077         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "sweep"
0.00077         2   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "aperm"
0.00038         1   0.00038         1  | | | | | | | | | | | | | | | | | | | | | | | | | "array"
0.00038         1   0.00038         1  | | | | | | | | | | | | | | | | | | | | | | | | | "aperm.default"
0.01651        43   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | "isSymmetric"
0.01651        43   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | "isSymmetric.matrix"
0.01651        43   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.01651        43   0.00614        16  | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.numeric"
0.00576        15   0.00576        15  | | | | | | | | | | | | | | | | | | | | | | | | | | "as.vector"
0.00461        12   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | "attr.all.equal"
0.00307         8   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | "mode"
0.00307         8   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | "t"
0.00307         8   0.00307         8  | | | | | | | | | | | | | | | | | | | | | | | | | | | | | "t.default"
0.00154         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal"
0.00154         4   0.00000         0  | | | | | | | | | | | | | | | | | | | | | | | | | | | | "all.equal.list"
