   tot%      tot#     self%     self#  function
0.00000         1   0.00018       233  toplevel
0.99966   1289677   0.00004        51    "doRun"
0.97028   1251764   0.00000         1      "setDistance"
0.97028   1251764   0.00000         4        "standardGeneric"
0.97028   1251763   0.00000         1          "setDistance"
0.97027   1251758   0.00000         0            "dist"
0.97027   1251757   0.00000         0              "nrow"
0.97027   1251757   0.00000         6                "as.matrix"
0.97027   1251757   0.00001        16                  "matrix"
0.97027   1251751   0.00001        19                    "boxcoxplsSummary"
0.97022   1251687   0.00036       460                      "summaryStatsLong"
0.97017   1251626   0.00048       625                        "fitContinuous.hacked"
0.89646   1156535   0.00022       285                          "fitContinuousModel"
0.87840   1133230   0.00010       123                            "try"
0.87825   1133040   0.00014       186                              "tryCatch"
0.87816   1132917   0.00138      1779                                "tryCatchList"
0.87801   1132731   0.00459      5922                                  "tryCatchOne"
0.87025   1122717   0.00069       896                                    "doTryCatch"
0.86804   1119866   0.01019     13150                                      "optim"
0.86727   1118870   0.04094     52821                                        "<Anonymous>"
0.85714   1105811   0.13814    178213                                          "fn"
0.53585    691300   0.03724     48039                                            "dmvnormPseudoinverse"
0.32104    414173   0.01718     22165                                              "mahalanobis"
0.27703    357402   0.00359      4626                                                "rowSums"
0.26940    347558   0.02651     34199                                                  "is.data.frame"
0.26582    342932   0.01577     20343                                                    "pseudoinverse"
0.23716    305964   0.01428     18418                                                      "fast.svd"
0.22354    288390   0.19086    246232                                                        "positive.svd"
0.20926    269972   0.01788     23061                                                          "svd"
0.01588     20484   0.00053       679                                                            "La.svd"
0.00053       679   0.00000         0                                                              "as.matrix"
0.00195      2516   0.00000         0                                                            "t"
0.00057       740   0.00000         0                                                            "as.matrix"
0.00215      2769   0.00000         0                                                      "t"
0.02149     27722   0.00646      8333                                                "sweep"
0.01134     14628   0.00330      4257                                                  "aperm"
0.00587      7577   0.00102      1316                                                    "aperm.default"
0.00321      4138   0.00160      2070                                                      "order"
0.00219      2822   0.00058       752                                                        "unlist"
0.00058       752   0.00000         0                                                          "lapply"
0.00063       818   0.00000         0                                                    "array"
0.00163      2100   0.00000         0                                                  "match.fun"
0.00089      1144   0.00040       513                                                "rownames"
0.00040       513   0.00000         0                                                  "NROW"
0.00054       696   0.00000         0                                                "as.matrix"
0.15275    197064   0.00608      7842                                              "isSymmetric"
0.15098    194781   0.02748     35449                                                "isSymmetric.matrix"
0.14490    186939   0.01341     17298                                                  "all.equal"
0.11742    151490   0.01112     14344                                                    "all.equal.numeric"
0.10402    134192   0.01038     13395                                                      "attr.all.equal"
0.07860    101408   0.01332     17186                                                        "all.equal"
0.07581     97807   0.01237     15958                                                          "all.equal.list"
0.04991     64389   0.01424     18372                                                            "all.equal"
0.03428     44231   0.01065     13737                                                              "all.equal.list"
0.02346     30269   0.00825     10638                                                                "all.equal"
0.01470     18959   0.00645      8321                                                                  "all.equal.character"
0.00369      4763   0.00000         0                                                                    "attr.all.equal"
0.00276      3558   0.00000         0                                                                    "data.class"
0.00188      2427   0.00000         0                                                                "attr.all.equal"
0.00863     11135   0.00333      4298                                                              "all.equal.numeric"
0.00195      2522   0.00000         0                                                                "attr.all.equal"
0.00138      1776   0.00000         0                                                                "data.class"
0.01258     16232   0.00408      5262                                                            "attr.all.equal"
0.00721      9297   0.00313      4035                                                              "all.equal.character"
0.00175      2255   0.00000         0                                                                "attr.all.equal"
0.00138      1780   0.00000         0                                                                "data.class"
0.00775     10000   0.00221      2847                                                        "mode"
0.00221      2847   0.00000         0                                                          "t"
0.00654      8440   0.00328      4230                                                        "order"
0.00449      5799   0.00122      1569                                                          "unlist"
0.00122      1569   0.00000         0                                                            "lapply"
0.01483     19127   0.00178      2295                                              "eigen"
0.00124      1595   0.00000         0                                                "rev"
0.00054       700   0.00000         0                                                "as.matrix"
0.00083      1072   0.00000         0                                              "NCOL"
0.00044       572   0.00000         0                                              "NROW"
0.00006        71   0.00000         0                                              "matrix"
0.16568    213746   0.00576      7432                                            "phylogMean"
0.14992    193418   0.00252      3252                                              "try"
0.14532    187479   0.00108      1389                                                "tryCatch"
0.14280    184227   0.00517      6669                                                  "tryCatchList"
0.14172    182838   0.01524     19656                                                    "tryCatchOne"
0.13541    174696   0.04824     62236                                                      "doTryCatch"
0.12080    155848   0.05198     67059                                                        "solve"
0.07153     92281   0.01866     24078                                                          "solve.default"
0.01361     17554   0.00114      1474                                                            "diag"
0.00114      1474   0.00000         0                                                              "array"
0.00249      3213   0.00039       508                                                            "colnames"
0.00039       508   0.00000         0                                                              "NCOL"
0.00133      1711   0.00000         0                                                            "colnames<-"
0.00113      1456   0.00000         0                                                            "rownames<-"
0.00105      1357   0.00000         0                                                            "as.matrix"
0.00088      1136   0.00038       493                                                            "rownames"
0.00038       493   0.00000         0                                                              "NROW"
0.00010       126   0.00000         0                                                            "ifelse"
0.00103      1331   0.00000         0                                                          "t"
0.00100      1288   0.00010       134                                                      "<Anonymous>"
0.00022       290   0.00004        47                                                        "deparse"
0.00018       229   0.00002        21                                                          "%in%"
0.00016       205   0.00006        74                                                            "match"
0.00014       184   0.00003        36                                                              "mode"
0.00009       110   0.00004        52                                                                "deparse"
0.00003        38   0.00000         6                                                                  ".deparseOpts"
0.00000         6   0.00000         0                                                                    "pmatch"
0.00003        36   0.00001        16                                                                  "%in%"
0.00001        16   0.00000         0                                                                    "match"
0.00002        26   0.00000         3                                                          ".deparseOpts"
0.00000         3   0.00000         0                                                            "pmatch"
0.00009       112   0.00001         8                                                        "paste"
0.00005        62   0.00004        54                                                          "conditionMessage"
0.00004        54   0.00000         0                                                            "conditionMessage.condition"
0.00008        97   0.00006        79                                                        "conditionCall"
0.00006        79   0.00000         0                                                          "conditionCall.condition"
0.00005        69   0.00005        59                                                        "conditionMessage"
0.00005        59   0.00000         0                                                          "conditionMessage.condition"
0.00003        35   0.00001        14                                                        "structure"
0.00001        14   0.00000         0                                                          "%in%"
0.00014       185   0.00003        40                                                      "simpleError"
0.00005        62   0.00002        22                                                        "structure"
0.00002        22   0.00000         0                                                          "%in%"
0.00098      1261   0.00000         0                                              "t"
0.00092      1186   0.00001        19                                              "pseudoinverse"
0.00089      1146   0.00009       115                                                "fast.svd"
0.00087      1127   0.00009       121                                                  "positive.svd"
0.00078      1012   0.00062       802                                                    "svd"
0.00068       880   0.00006        80                                                      "stop"
0.00007        89   0.00001         9                                                        ".makeMessage"
0.00001         9   0.00000         0                                                          "lapply"
0.00001        11   0.00000         0                                                      "as.matrix"
0.00015       192   0.00000         0                                              "print"
0.09393    121180   0.00209      2694                                            "ouMatrix"
0.01953     25191   0.00393      5073                                              "diag"
0.01759     22694   0.00724      9338                                                "sapply"
0.01310     16902   0.00313      4034                                                  "simplify2array"
0.00642      8283   0.00266      3435                                                    "unique"
0.00253      3264   0.00063       814                                                      "unlist"
0.00063       814   0.00000         0                                                        "lapply"
0.00076       985   0.00000         0                                                      "unique.default"
0.00056       719   0.00000         0                                                  "lapply"
0.00015       197   0.00000         0                                              "matrix"
0.01835     23673   0.00367      4735                                            "diag"
0.01647     21253   0.00707      9116                                              "sapply"
0.01224     15794   0.00273      3519                                                "simplify2array"
0.00574      7402   0.00246      3179                                                  "unique"
0.00231      2983   0.00055       704                                                    "unlist"
0.00055       704   0.00000         0                                                      "lapply"
0.00070       900   0.00000         0                                                    "unique.default"
0.00056       724   0.00000         0                                                "lapply"
0.00240      3091   0.00000         0                                            "diag<-"
0.00022       281   0.00006        83                                        "match.arg"
0.00014       186   0.00004        51                                          "eval"
0.00008       105   0.00004        47                                            "deparse"
0.00003        38   0.00001        11                                              "%in%"
0.00001        11   0.00000         0                                                "match"
0.00002        22   0.00000         2                                              ".deparseOpts"
0.00000         2   0.00000         0                                                "pmatch"
0.00000         6   0.00000         0                                            "eval"
0.00002        21   0.00001        13                                          "formals"
0.00001        13   0.00000         0                                            "sys.function"
0.00001        17   0.00000         0                                        "%in%"
0.00063       808   0.00047       610                                      "nlm"
0.00047       610   0.00000         0                                        "<Anonymous>"
0.00561      7237   0.00087      1127                                    "<Anonymous>"
0.00141      1816   0.00024       308                                      "deparse"
0.00100      1286   0.00009       122                                        "%in%"
0.00088      1136   0.00023       300                                          "match"
0.00079      1014   0.00024       316                                            "mode"
0.00055       714   0.00024       310                                              "deparse"
0.00016       212   0.00005        70                                                "%in%"
0.00005        70   0.00000         0                                                  "match"
0.00014       186   0.00001        18                                                ".deparseOpts"
0.00001        18   0.00000         0                                                  "pmatch"
0.00014       175   0.00001        17                                        ".deparseOpts"
0.00001        17   0.00000         0                                          "pmatch"
0.00071       922   0.00006        76                                      "paste"
0.00038       494   0.00032       418                                        "conditionMessage"
0.00032       418   0.00000         0                                          "conditionMessage.condition"
0.00041       528   0.00034       434                                      "conditionCall"
0.00034       434   0.00000         0                                        "conditionCall.condition"
0.00036       460   0.00030       381                                      "conditionMessage"
0.00030       381   0.00000         0                                        "conditionMessage.condition"
0.00025       318   0.00011       147                                      "structure"
0.00011       147   0.00000         0                                        "%in%"
0.00077       998   0.00013       167                                    "simpleError"
0.00024       312   0.00011       145                                      "structure"
0.00011       145   0.00000         0                                        "%in%"
0.01750     22580   0.00005        68                            "nlm"
0.01749     22568   0.00003        36                              "<Anonymous>"
0.01744     22502   0.00007        90                                "f"
0.01718     22166   0.00001        19                                  "try"
0.01715     22124   0.00001         9                                    "tryCatch"
0.01713     22105   0.00003        40                                      "tryCatchList"
0.01713     22096   0.00021       270                                        "tryCatchOne"
0.01709     22044   0.00352      4540                                          "doTryCatch"
0.01662     21437   0.00336      4329                                            "foo"
0.00486      6270   0.00033       427                                              "dmvnormPseudoinverse"
